player_id,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
189513,77+2,77+2,77+2,80,80,80,80,80,83+2,83+2,83+2,80+2,85+1,85+1,85+1,80+2,76+2,79+2,79+2,79+2,76+2,74+2,71+2,71+2,71+2,74+2,17+2
189596,83+3,83+3,83+3,82,84,84,84,82,84+2,84+2,84+2,83+3,82+3,82+3,82+3,83+3,71+3,70+3,70+3,70+3,71+3,68+3,63+3,63+3,63+3,68+3,20+3
192387,85+1,85+1,85+1,80,83,83,83,80,80+3,80+3,80+3,78+3,73+3,73+3,73+3,78+3,61+3,59+3,59+3,59+3,61+3,58+3,55+3,55+3,55+3,58+3,17+3
197445,77+3,77+3,77+3,79,79,79,79,79,80+3,80+3,80+3,80+3,82+3,82+3,82+3,80+3,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,18+3
201024,66+3,66+3,66+3,64,65,65,65,64,65+3,65+3,65+3,67+3,69+3,69+3,69+3,67+3,76+3,79+3,79+3,79+3,76+3,79+3,85+1,85+1,85+1,79+3,17+3
209499,74+3,74+3,74+3,74,75,75,75,74,76+3,76+3,76+3,76+3,81+3,81+3,81+3,76+3,82+3,84+2,84+2,84+2,82+3,82+3,83+3,83+3,83+3,82+3,18+3
211110,81+3,81+3,81+3,86,85,85,85,86,87-1,87-1,87-1,84+2,81+3,81+3,81+3,84+2,65+3,63+3,63+3,63+3,65+3,61+3,51+3,51+3,51+3,61+3,14+3
212198,81+3,81+3,81+3,83,84,84,84,83,85+1,85+1,85+1,84+2,85+1,85+1,85+1,84+2,78+3,79+3,79+3,79+3,78+3,76+3,71+3,71+3,71+3,76+3,21+3
212218,65+3,65+3,65+3,64,66,66,66,64,68+3,68+3,68+3,67+3,74+3,74+3,74+3,67+3,77+3,82+3,82+3,82+3,77+3,78+3,85+2,85+2,85+2,78+3,18+3
213345,80+3,80+3,80+3,84,84,84,84,84,83+3,83+3,83+3,84+3,75+3,75+3,75+3,84+3,60+3,55+3,55+3,55+3,60+3,56+3,45+3,45+3,45+3,56+3,13+3
216352,74+3,74+3,74+3,77,77,77,77,77,80+3,80+3,80+3,78+3,83+3,83+3,83+3,78+3,81+3,84+2,84+2,84+2,81+3,81+3,80+3,80+3,80+3,81+3,17+3
223848,82+3,82+3,82+3,80,82,82,82,80,83+3,83+3,83+3,81+3,85+2,85+2,85+2,81+3,80+3,83+3,83+3,83+3,80+3,79+3,81+3,81+3,81+3,79+3,18+3
224232,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,85+3,85+3,85+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,19+3
231281,75+3,75+3,75+3,80,79,79,79,80,81+3,81+3,81+3,82+3,85+3,85+3,85+3,82+3,83+3,83+3,83+3,83+3,83+3,82+3,77+3,77+3,77+3,82+3,19+3
231478,85+3,85+3,85+3,82,84,84,84,82,82+3,82+3,82+3,80+3,76+3,76+3,76+3,80+3,65+3,66+3,66+3,66+3,65+3,63+3,62+3,62+3,62+3,63+3,19+3
232363,60+3,60+3,60+3,59,60,60,60,59,61+3,61+3,61+3,63+3,67+3,67+3,67+3,63+3,76+3,80+3,80+3,80+3,76+3,79+3,85+2,85+2,85+2,79+3,19+3
232411,82+3,82+3,82+3,86,85,85,85,86,86+3,86+3,86+3,85+3,82+3,82+3,82+3,85+3,75+3,73+3,73+3,73+3,75+3,73+3,65+3,65+3,65+3,73+3,17+3
234642,30+2,30+2,30+2,29,32,32,32,29,36+2,36+2,36+2,33+2,40+2,40+2,40+2,33+2,28+2,35+2,35+2,35+2,28+2,26+2,26+2,26+2,26+2,26+2,84+2
238794,79+2,79+2,79+2,85,84,84,84,85,83+2,83+2,83+2,84+2,75+2,75+2,75+2,84+2,61+2,56+2,56+2,56+2,61+2,56+2,45+2,45+2,45+2,56+2,15+2
185122,31+3,31+3,31+3,29,31,31,31,29,31+3,31+3,31+3,31+3,33+3,33+3,33+3,31+3,31+3,33+3,33+3,33+3,31+3,31+3,33+3,33+3,33+3,31+3,83+2
186942,78+3,78+3,78+3,82,82,82,82,82,84+1,84+1,84+1,82+3,84+1,84+1,84+1,82+3,77+3,80+3,80+3,80+3,77+3,75+3,73+3,73+3,73+3,75+3,19+3
188350,78+3,78+3,78+3,83,83,83,83,83,84+1,84+1,84+1,82+3,80+3,80+3,80+3,82+3,71+3,69+3,69+3,69+3,71+3,67+3,59+3,59+3,59+3,67+3,20+3
188377,74+3,74+3,74+3,76,76,76,76,76,75+3,75+3,75+3,78+3,78+3,78+3,78+3,78+3,82+3,81+3,81+3,81+3,82+3,82+3,81+3,81+3,81+3,82+3,19+3
189332,76+3,76+3,76+3,81,79,79,79,81,81+3,81+3,81+3,82+3,81+3,81+3,81+3,82+3,82+3,80+3,80+3,80+3,82+3,81+3,76+3,76+3,76+3,81+3,19+3
189511,70+3,70+3,70+3,72,74,74,74,72,77+3,77+3,77+3,74+3,82+3,82+3,82+3,74+3,76+3,83+2,83+2,83+2,76+3,75+3,79+3,79+3,79+3,75+3,17+3
192505,84+1,84+1,84+1,79,82,82,82,79,79+3,79+3,79+3,79+3,73+3,73+3,73+3,79+3,59+3,59+3,59+3,59+3,59+3,57+3,56+3,56+3,56+3,57+3,18+3
192629,83+2,83+2,83+2,84,84,84,84,84,83+2,83+2,83+2,82+2,76+2,76+2,76+2,82+2,61+2,58+2,58+2,58+2,61+2,57+2,49+2,49+2,49+2,57+2,21+2
195864,80+3,80+3,80+3,80,82,82,82,80,83+2,83+2,83+2,80+3,83+2,83+2,83+2,80+3,71+3,75+3,75+3,75+3,71+3,69+3,70+3,70+3,70+3,69+3,12+3
201535,66+3,66+3,66+3,65,66,66,66,65,67+3,67+3,67+3,66+3,71+3,71+3,71+3,66+3,75+3,80+3,80+3,80+3,75+3,78+3,84+1,84+1,84+1,78+3,18+3
202556,83+2,83+2,83+2,84,84,84,84,84,84+1,84+1,84+1,84+1,77+3,77+3,77+3,84+1,61+3,59+3,59+3,59+3,61+3,56+3,49+3,49+3,49+3,56+3,19+3
202652,79+3,79+3,79+3,84,84,84,84,84,83+2,83+2,83+2,83+2,77+3,77+3,77+3,83+2,68+3,63+3,63+3,63+3,68+3,64+3,55+3,55+3,55+3,64+3,21+3
202811,37+3,37+3,37+3,37,39,39,39,37,43+3,43+3,43+3,41+3,45+3,45+3,45+3,41+3,35+3,39+3,39+3,39+3,35+3,34+3,32+3,32+3,32+3,34+3,83+2
204485,79+3,79+3,79+3,84,84,84,84,84,84+1,84+1,84+1,83+2,78+3,78+3,78+3,83+2,64+3,61+3,61+3,61+3,64+3,59+3,49+3,49+3,49+3,59+3,18+3
208093,83+2,83+2,83+2,82,83,83,83,82,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,65+2,63+2,63+2,63+2,65+2,63+2,58+2,58+2,58+2,63+2,20+2
208574,78+3,78+3,78+3,82,81,81,81,82,81+3,81+3,81+3,83+2,80+3,80+3,80+3,83+2,79+3,76+3,76+3,76+3,79+3,76+3,71+3,71+3,71+3,76+3,21+3
209981,30+2,30+2,30+2,29,31,31,31,29,34+2,34+2,34+2,31+2,36+2,36+2,36+2,31+2,28+2,32+2,32+2,32+2,28+2,27+2,28+2,28+2,28+2,27+2,83+2
212190,62+3,62+3,62+3,59,61,61,61,59,63+3,63+3,63+3,62+3,70+3,70+3,70+3,62+3,74+3,79+3,79+3,79+3,74+3,76+3,84+3,84+3,84+3,76+3,19+3
216594,80+3,80+3,80+3,84,84,84,84,84,84+1,84+1,84+1,84+1,79+3,79+3,79+3,84+1,64+3,64+3,64+3,64+3,64+3,60+3,53+3,53+3,53+3,60+3,20+3
224334,77+2,77+2,77+2,82,81,81,81,82,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,84+1,83+2,83+2,83+2,84+1,83+2,80+2,80+2,80+2,83+2,20+2
224458,84+2,84+2,84+2,83,84,84,84,83,82+2,82+2,82+2,82+2,78+2,78+2,78+2,82+2,70+2,69+2,69+2,69+2,70+2,68+2,66+2,66+2,66+2,68+2,19+2
232656,79+3,79+3,79+3,81,80,80,80,81,79+3,79+3,79+3,81+3,78+3,78+3,78+3,81+3,83+3,79+3,79+3,79+3,83+3,82+3,79+3,79+3,79+3,82+3,17+3
235073,32+2,32+2,32+2,32,34,34,34,32,36+2,36+2,36+2,34+2,36+2,36+2,36+2,34+2,29+2,32+2,32+2,32+2,29+2,28+2,30+2,30+2,30+2,28+2,83+2
235243,68+3,68+3,68+3,63,65,65,65,63,63+3,63+3,63+3,64+3,68+3,68+3,68+3,64+3,75+3,78+3,78+3,78+3,75+3,77+3,84+3,84+3,84+3,77+3,19+3
237692,77+3,77+3,77+3,84,84,84,84,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,73+3,72+3,72+3,72+3,73+3,69+3,60+3,60+3,60+3,69+3,19+3
239053,80+2,80+2,80+2,82,83,83,83,82,83+2,83+2,83+2,83+2,84+2,84+2,84+2,83+2,82+2,83+2,83+2,83+2,82+2,81+2,79+2,79+2,79+2,81+2,18+2
251854,74+2,74+2,74+2,81,80,80,80,81,83+2,83+2,83+2,82+2,84+2,84+2,84+2,82+2,77+2,78+2,78+2,78+2,77+2,75+2,70+2,70+2,70+2,75+2,17+2
252371,78+2,78+2,78+2,80,81,81,81,80,82+2,82+2,82+2,81+2,84+2,84+2,84+2,81+2,79+2,82+2,82+2,82+2,79+2,78+2,78+2,78+2,78+2,78+2,18+2
138956,57+3,57+3,57+3,55,54,54,54,55,55+3,55+3,55+3,57+3,61+3,61+3,61+3,57+3,72+3,75+3,75+3,75+3,72+3,75+3,83+1,83+1,83+1,75+3,11+3
143076,74+3,74+3,74+3,83,81,81,81,83,83+1,83+1,83+1,82+2,77+3,77+3,77+3,82+2,65+3,61+3,61+3,61+3,65+3,60+3,48+3,48+3,48+3,60+3,17+3
155862,73+3,73+3,73+3,69,71,71,71,69,72+3,72+3,72+3,70+3,75+3,75+3,75+3,70+3,74+3,80+3,80+3,80+3,74+3,76+3,83+1,83+1,83+1,76+3,18+3
175943,75+3,75+3,75+3,82,82,82,82,82,83+1,83+1,83+1,81+3,77+3,77+3,77+3,81+3,63+3,60+3,60+3,60+3,63+3,59+3,47+3,47+3,47+3,59+3,16+3
178603,68+3,68+3,68+3,67,69,69,69,67,71+3,71+3,71+3,69+3,77+3,77+3,77+3,69+3,76+3,82+2,82+2,82+2,76+3,77+3,84,84,84,77+3,17+3
180930,83+1,83+1,83+1,77,80,80,80,77,78+3,78+3,78+3,76+3,75+3,75+3,75+3,76+3,59+3,62+3,62+3,62+3,59+3,56+3,56+3,56+3,56+3,56+3,21+3
183277,79+3,79+3,79+3,83,83,83,83,83,84,84,84,83+1,78+3,78+3,78+3,83+1,62+3,60+3,60+3,60+3,62+3,57+3,48+3,48+3,48+3,57+3,17+3
183898,78+3,78+3,78+3,84,83,83,83,84,85-1,85-1,85-1,84,81+3,81+3,81+3,84,69+3,67+3,67+3,67+3,69+3,66+3,58+3,58+3,58+3,66+3,18+3
186345,73+2,73+2,73+2,76,76,76,76,76,77+2,77+2,77+2,78+2,81+2,81+2,81+2,78+2,81+2,81+2,81+2,81+2,81+2,81+2,78+2,78+2,78+2,81+2,19+2
188567,83+1,83+1,83+1,81,82,82,82,81,80+3,80+3,80+3,79+3,73+3,73+3,73+3,79+3,62+3,57+3,57+3,57+3,62+3,59+3,51+3,51+3,51+3,59+3,17+3
189575,76+2,76+2,76+2,83,82,82,82,83,84,84,84,83+1,79+2,79+2,79+2,83+1,69+2,67+2,67+2,67+2,69+2,65+2,56+2,56+2,56+2,65+2,18+2
190286,78+2,78+2,78+2,83,83,83,83,83,84,84,84,83+1,84,84,84,83+1,78+2,78+2,78+2,78+2,78+2,76+2,69+2,69+2,69+2,76+2,21+2
192984,32+3,32+3,32+3,29,31,31,31,29,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,29+3,32+3,32+3,32+3,29+3,29+3,29+3,29+3,29+3,29+3,83+2
194765,83+1,83+1,83+1,84,84,84,84,84,84,84,84,83+1,82+2,82+2,82+2,83+1,73+3,71+3,71+3,71+3,73+3,71+3,66+3,66+3,66+3,71+3,20+3
197061,63+2,63+2,63+2,64,65,65,65,64,68+2,68+2,68+2,67+2,73+2,73+2,73+2,67+2,76+2,81+2,81+2,81+2,76+2,77+2,84,84,84,77+2,19+2
198176,58+3,58+3,58+3,60,61,61,61,60,64+3,64+3,64+3,64+3,71+3,71+3,71+3,64+3,76+3,80+3,80+3,80+3,76+3,78+3,83+1,83+1,83+1,78+3,19+3
198219,76+3,76+3,76+3,84,83,83,83,84,85-1,85-1,85-1,83+1,78+3,78+3,78+3,83+1,61+3,58+3,58+3,58+3,61+3,56+3,44+3,44+3,44+3,56+3,16+3
199451,84,84,84,84,85-1,85-1,85-1,84,84,84,84,82+2,77+2,77+2,77+2,82+2,63+2,61+2,61+2,61+2,63+2,59+2,53+2,53+2,53+2,59+2,17+2
204639,54+2,54+2,54+2,53,54,54,54,53,57+2,57+2,57+2,56+2,64+2,64+2,64+2,56+2,71+2,78+2,78+2,78+2,71+2,75+2,84,84,84,75+2,21+2
204963,70+3,70+3,70+3,75,74,74,74,75,75+3,75+3,75+3,78+3,77+3,77+3,77+3,78+3,81+3,79+3,79+3,79+3,81+3,81+3,78+3,78+3,78+3,81+3,20+3
205498,70+2,70+2,70+2,75,75,75,75,75,79+2,79+2,79+2,78+2,83+1,83+1,83+1,78+2,77+2,82+2,82+2,82+2,77+2,75+2,73+2,73+2,73+2,75+2,19+2
206113,79+3,79+3,79+3,83,82,82,82,83,82+2,82+2,82+2,81+3,77+3,77+3,77+3,81+3,65+3,63+3,63+3,63+3,65+3,61+3,53+3,53+3,53+3,61+3,18+3
206517,75+3,75+3,75+3,83,81,81,81,83,83+1,83+1,83+1,83+1,80+3,80+3,80+3,83+1,68+3,67+3,67+3,67+3,68+3,63+3,54+3,54+3,54+3,63+3,18+3
207410,72+3,72+3,72+3,80,79,79,79,80,83+1,83+1,83+1,81+3,84,84,84,81+3,77+3,80+3,80+3,80+3,77+3,75+3,72+3,72+3,72+3,75+3,15+3
208128,76+3,76+3,76+3,81,82,82,82,81,84,84,84,81+3,84,84,84,81+3,76+3,77+3,77+3,77+3,76+3,73+3,68+3,68+3,68+3,73+3,18+3
208418,79+3,79+3,79+3,83,83,83,83,83,82+2,82+2,82+2,82+2,78+3,78+3,78+3,82+2,71+3,67+3,67+3,67+3,71+3,69+3,61+3,61+3,61+3,69+3,18+3
209989,75+2,75+2,75+2,77,78,78,78,77,79+2,79+2,79+2,78+2,82+2,82+2,82+2,78+2,79+2,83+1,83+1,83+1,79+2,78+2,81+2,81+2,81+2,78+2,18+2
210935,80+2,80+2,80+2,84,83,83,83,84,84,84,84,83+1,77+2,77+2,77+2,83+1,62+2,61+2,61+2,61+2,62+2,58+2,51+2,51+2,51+2,58+2,14+2
212616,77+2,77+2,77+2,81,81,81,81,81,82+2,82+2,82+2,82+2,84,84,84,82+2,81+2,82+2,82+2,82+2,81+2,79+2,76+2,76+2,76+2,79+2,19+2
213648,73+2,73+2,73+2,73,75,75,75,73,76+2,76+2,76+2,75+2,81+2,81+2,81+2,75+2,78+2,83+2,83+2,83+2,78+2,77+2,79+2,79+2,79+2,77+2,18+2
216393,77+2,77+2,77+2,78,79,79,79,78,81+2,81+2,81+2,79+2,84+2,84+2,84+2,79+2,76+2,78+2,78+2,78+2,76+2,74+2,71+2,71+2,71+2,74+2,18+2
220697,76+2,76+2,76+2,83,82,82,82,83,84+1,84+1,84+1,83+2,81+2,81+2,81+2,83+2,70+2,70+2,70+2,70+2,70+2,65+2,58+2,58+2,58+2,65+2,20+2
220814,68+3,68+3,68+3,70,68,68,68,70,69+3,69+3,69+3,71+3,71+3,71+3,71+3,71+3,79+3,79+3,79+3,79+3,79+3,81+3,83+2,83+2,83+2,81+3,18+3
222492,81+3,81+3,81+3,84,83,83,83,84,83+1,83+1,83+1,82+2,75+3,75+3,75+3,82+2,64+3,60+3,60+3,60+3,64+3,60+3,52+3,52+3,52+3,60+3,19+3
222665,75+3,75+3,75+3,82,80,80,80,82,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,73+3,72+3,72+3,72+3,73+3,69+3,61+3,61+3,61+3,69+3,19+3
224293,71+2,71+2,71+2,75,75,75,75,75,78+2,78+2,78+2,76+2,82+2,82+2,82+2,76+2,78+2,82+2,82+2,82+2,78+2,76+2,75+2,75+2,75+2,76+2,19+2
226161,81+3,81+3,81+3,82,83,83,83,82,83+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,82+3,82+3,82+3,82+3,82+3,81+3,78+3,78+3,78+3,81+3,19+3
228251,80+2,80+2,80+2,82,82,82,82,82,84+2,84+2,84+2,83+2,84+2,84+2,84+2,83+2,79+2,80+2,80+2,80+2,79+2,78+2,76+2,76+2,76+2,78+2,19+2
230142,79+2,79+2,79+2,83,82,82,82,83,82+2,82+2,82+2,82+2,76+2,76+2,76+2,82+2,63+2,60+2,60+2,60+2,63+2,59+2,50+2,50+2,50+2,59+2,18+2
230666,84+2,84+2,84+2,84,85,85,85,84,84+2,84+2,84+2,83+2,76+2,76+2,76+2,83+2,63+2,61+2,61+2,61+2,63+2,60+2,55+2,55+2,55+2,60+2,19+2
230938,77+3,77+3,77+3,77,78,78,78,77,79+3,79+3,79+3,78+3,80+3,80+3,80+3,78+3,81+3,83+3,83+3,83+3,81+3,81+3,81+3,81+3,81+3,81+3,18+3
232756,60+2,60+2,60+2,61,60,60,60,61,61+2,61+2,61+2,63+2,65+2,65+2,65+2,63+2,77+2,77+2,77+2,77+2,77+2,79+2,84+2,84+2,84+2,79+2,18+2
234236,83+3,83+3,83+3,80,82,82,82,80,80+3,80+3,80+3,78+3,72+3,72+3,72+3,78+3,57+3,57+3,57+3,57+3,57+3,54+3,52+3,52+3,52+3,54+3,20+3
234378,71+2,71+2,71+2,71,73,73,73,71,75+2,75+2,75+2,74+2,79+2,79+2,79+2,74+2,78+2,83+2,83+2,83+2,78+2,79+2,81+2,81+2,81+2,79+2,17+2
234396,76+3,76+3,76+3,82,80,80,80,82,80+3,80+3,80+3,82+3,78+3,78+3,78+3,82+3,82+3,78+3,78+3,78+3,82+3,81+3,77+3,77+3,77+3,81+3,18+3
235212,78+2,78+2,78+2,81,80,80,80,81,80+2,80+2,80+2,82+2,79+2,79+2,79+2,82+2,82+2,78+2,78+2,78+2,82+2,81+2,76+2,76+2,76+2,81+2,16+2
